OBJECTID_1,FID_TL_201,ALAND10,AWATER10,CNTY2010,CT10,CT2010,GEODESC,ACRES,SQ_MILES,POP100,HU100,NHW,NHB,NHAI,NHA,NHNH,NHO,NHT,HISP,PNHW,PNHB,PNHAI,PNHA,PNHNH,PNHO,PNHT,PHISP,POP65_,PCTPOP65_,MEDAGE,VACNS,PVACNS,PHOWN,PWOMORT,PRENT,PLT18SP,CNTY20101,CT101,AREA,ACRES_1,SQMILES,PSQM,REPORT_2_P,REPORT_9_P,Shape_Length,Shape_Area
635,639,13633298,20382267,24005,451000,24005451000,4510.00,3378.03376,5.27818,1662,763,1590,7,6,16,1,0,17,25,95.7,0.4,0.4,1,0.1,0,1,1.5,314,18.9,49.7,56,7.3,84,35.8,16,23.8,24005,451000,0,3378.03376,5.27818,314.88,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24005451000.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24005451000.pdf,48464.8028461503,22841436.4472101
636,640,1688565,0,24005,491201,24005491201,4912.01,417.24472,0.65194,1792,875,1451,160,4,63,3,1,46,64,81,8.9,0.2,3.5,0.2,0.1,2.6,3.6,312,17.4,39.6,46,5.3,77.5,26.7,22.5,28,24005,491201,0,417.24472,0.65194,2748.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24005491201.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24005491201.pdf,7759.832453624,2831345.87375386
637,641,6496280,4406,24005,402407,24005402407,4024.07,1606.29011,2.50983,1371,603,316,915,0,47,0,2,42,49,23,66.7,0,3.4,0,0.1,3.1,3.6,108,7.9,35.5,36,6,53.4,16.2,46.6,56.7,24005,402407,0,1606.29011,2.50983,546.25,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24005402407.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24005402407.pdf,20426.9557686715,10881694.3805908
638,642,4211024,11731,24005,404404,24005404404,4044.04,1043.46791,1.63042,4812,2019,3363,817,1,313,3,9,123,183,69.9,17,0,6.5,0.1,0.2,2.6,3.8,757,15.7,41.1,85,4.2,72.5,17.4,27.5,25.6,24005,404404,0,1043.46791,1.63042,2951.39,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24005404404.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24005404404.pdf,13981.0880763159,7094922.1660193
639,643,4692487,0,24005,404102,24005404102,4041.02,1159.5241,1.81176,5311,2187,2398,1905,12,369,0,24,137,466,45.2,35.9,0.2,6.9,0,0.5,2.6,8.8,493,9.3,36.3,115,5.3,70.8,16,29.2,35.2,24005,404102,0,1159.5241,1.81176,2931.41,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24005404102.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24005404102.pdf,14081.0177714246,7874092.57815621
640,644,12747380,99022,24005,404101,24005404101,4041.01,3174.37115,4.95995,4150,1873,2316,1289,6,253,1,16,105,164,55.8,31.1,0.1,6.1,0,0.4,2.5,4,397,9.6,36.9,108,5.8,85.6,11.1,14.4,25.6,24005,404101,0,3174.37115,4.95995,836.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24005404101.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24005404101.pdf,27633.1055978879,21554948.8887095
641,645,2527643,84668,24033,806708,24033806708,8067.08,624.80055,0.97625,4232,2299,2210,1066,8,521,0,4,120,303,52.2,25.2,0.2,12.3,0,0.1,2.8,7.2,553,13.1,40.1,119,5.2,48.6,32.6,51.4,35.4,24033,806708,0,624.80055,0.97625,4334.96,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033806708.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033806708.pdf,12529.1031887068,4192965.33425581
642,646,10461543,211970,24033,800408,24033800408,8004.08,2637.21548,4.12065,6808,2148,1190,4611,6,342,3,38,139,479,17.5,67.7,0.1,5,0,0.6,2,7,559,8.2,39.2,82,3.8,93.7,9.1,6.3,19.8,24033,800408,0,2637.21548,4.12065,1652.17,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033800408.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033800408.pdf,18290.460918624,17684762.5726372
643,647,1532463,1897,24033,803612,24033803612,8036.12,379.10983,0.59236,3144,1290,179,2135,14,88,2,13,88,625,5.7,67.9,0.4,2.8,0.1,0.4,2.8,19.9,138,4.4,29.9,127,9.8,28.3,11.6,71.7,54,24033,803612,0,379.10983,0.59236,5307.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033803612.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033803612.pdf,7837.71267162627,2540579.48042901
644,648,3214643,13055,24033,803519,24033803519,8035.19,797.49824,1.24609,3825,2446,105,3424,14,35,0,6,75,166,2.7,89.5,0.4,0.9,0,0.2,2,4.3,449,11.7,35.6,874,35.7,62.5,4.9,37.5,48,24033,803519,0,797.49824,1.24609,3069.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033803519.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033803519.pdf,11499.9128202742,5336221.42367982
